2020-10-05 13:38:42,196 INFO    MainThread:15923 [wandb_init.py:_log_setup():291] Logging user logs to wandb/run-20201005_133842-14634_00001/logs/debug.log
2020-10-05 13:38:42,197 INFO    MainThread:15923 [wandb_init.py:_log_setup():292] Logging internal logs to wandb/run-20201005_133842-14634_00001/logs/debug-internal.log
2020-10-05 13:38:42,197 INFO    MainThread:15923 [wandb_setup.py:_flush():68] enabling code saving by default
2020-10-05 13:38:42,197 INFO    MainThread:15923 [wandb_setup.py:_flush():68] setting env: {'api_key': '3487a01956bf67cc7882bca2a38f70c8c95f8463'}
2020-10-05 13:38:42,197 INFO    MainThread:15923 [wandb_setup.py:_flush():68] setting user settings: {'save_code': True}
2020-10-05 13:38:42,197 INFO    MainThread:15923 [wandb_setup.py:_flush():68] multiprocessing start_methods=fork,spawn,forkserver
2020-10-05 13:38:45,500 INFO    MainThread:15923 [wandb_run.py:_console_start():1189] atexit reg
2020-10-05 13:38:45,501 INFO    MainThread:15923 [wandb_run.py:_redirect():1061] redirect: SettingsConsole.REDIRECT
2020-10-05 13:38:45,501 INFO    MainThread:15923 [wandb_run.py:_redirect():1064] Redirecting console.
2020-10-05 13:38:45,502 INFO    MainThread:15923 [redirect.py:install():187] install start
2020-10-05 13:38:45,502 INFO    MainThread:15923 [redirect.py:install():202] install stop
2020-10-05 13:38:45,502 INFO    MainThread:15923 [redirect.py:install():187] install start
2020-10-05 13:38:45,503 INFO    MainThread:15923 [redirect.py:install():202] install stop
2020-10-05 13:38:45,503 INFO    MainThread:15923 [wandb_run.py:_redirect():1108] Redirects installed.
