50	20
124	128	59	199	146	136	43	63	131	42	118	100	66	28	153	141	177	82	46	135
171	182	70	59	192	122	173	113	48	189	105	108	45	4	172	161	58	5	81	32
42	54	77	88	175	176	4	11	138	95	69	12	169	92	31	185	13	127	38	122
3	119	101	36	105	55	58	50	148	162	59	46	138	61	166	65	162	134	40	15
90	26	194	18	157	30	130	46	52	62	101	177	87	147	113	3	198	172	65	42
116	135	134	192	105	160	27	8	91	191	48	160	105	106	117	121	165	200	103	44
98	10	145	132	97	48	103	5	95	16	23	67	156	78	100	93	5	194	91	183
181	137	73	189	112	115	97	30	200	57	191	94	190	195	138	16	136	30	48	67
153	184	126	50	53	131	148	144	115	81	178	53	91	159	17	116	97	136	75	62
144	69	165	101	47	105	152	76	120	189	34	196	92	149	16	38	60	129	111	23
19	41	56	186	119	186	27	59	130	185	138	65	151	183	23	162	26	37	118	76
112	47	7	198	39	169	9	71	161	177	133	23	33	132	172	42	199	138	46	187
23	69	16	131	153	67	97	17	128	66	47	20	55	78	6	78	141	91	200	97
20	22	155	47	18	105	38	14	24	158	179	130	53	23	200	178	57	112	37	103
71	144	148	79	126	124	136	187	141	41	153	100	23	142	173	137	117	181	178	147
74	157	54	24	112	41	19	58	55	90	199	69	179	99	62	67	69	114	168	102
4	152	194	193	57	84	57	12	195	157	193	69	157	146	154	191	39	80	67	112
169	13	58	91	83	101	60	181	122	142	136	166	175	50	133	56	172	198	105	8
196	187	28	104	46	118	178	67	21	54	163	175	104	40	185	171	80	79	183	83
194	62	173	14	146	159	154	97	146	81	143	54	198	106	170	180	7	155	92	119
147	23	46	164	161	87	99	98	31	53	128	61	53	50	127	92	1	152	133	139
86	74	199	74	129	4	114	130	126	152	125	140	160	175	61	71	175	91	74	108
169	83	18	65	159	176	75	67	162	22	18	157	18	40	178	165	35	194	171	120
114	169	136	138	24	13	171	1	149	180	43	186	128	53	78	27	107	85	98	131
140	106	190	200	10	172	82	42	67	114	153	130	126	172	12	126	88	115	166	80
26	93	114	15	75	39	86	137	199	17	83	96	25	31	81	73	141	161	76	180
82	130	190	47	190	199	74	186	199	13	50	122	42	181	158	108	175	68	26	18
139	14	133	41	115	16	4	185	65	193	57	87	138	112	93	29	186	170	6	139
186	122	81	170	79	3	73	29	161	38	71	138	192	179	67	160	124	42	189	60
125	50	187	104	97	43	39	200	63	172	51	150	78	85	35	72	142	149	16	41
144	1	140	173	8	172	2	84	53	146	57	107	113	109	34	27	195	102	125	148
51	190	117	149	70	126	71	82	190	18	113	15	152	29	186	62	169	162	13	125
53	134	85	3	189	19	7	45	65	82	93	196	75	132	158	154	183	32	11	72
8	141	81	32	51	167	141	105	196	131	29	148	119	79	28	57	38	167	12	93
164	110	128	25	17	49	20	78	24	98	109	118	171	180	149	76	12	156	45	192
91	106	16	77	151	17	21	106	171	64	65	46	104	89	110	189	160	187	141	119
9	56	110	48	151	153	94	65	70	176	127	88	98	36	51	43	70	137	79	119
76	171	143	138	61	145	68	132	143	102	14	53	131	105	40	20	37	141	81	22
78	82	46	39	117	29	26	124	38	128	102	166	46	169	50	140	110	30	36	58
53	27	39	194	65	89	58	59	196	144	189	121	30	87	1	183	134	16	184	24
27	86	12	189	66	31	4	47	148	106	115	58	3	24	21	93	30	191	106	5
69	5	65	95	12	121	9	183	126	189	85	111	30	68	80	156	93	185	6	117
146	122	94	137	188	152	108	89	93	152	7	157	161	80	196	157	40	122	125	128
166	22	94	164	61	47	92	38	7	180	29	50	97	57	168	7	38	76	178	43
130	11	198	5	175	141	35	185	38	180	109	3	11	60	192	77	8	120	157	85
172	149	94	68	64	198	12	87	119	52	51	188	98	17	114	155	57	110	63	4
158	141	184	158	19	57	179	7	40	9	137	189	126	184	134	179	161	1	27	72
55	127	15	138	162	5	112	49	41	4	60	164	195	31	152	43	132	88	170	104
67	20	77	105	147	88	114	23	26	186	172	176	148	101	200	147	135	54	173	80
50	95	100	94	173	17	124	119	140	110	34	6	37	56	175	44	3	132	111	3
6	3	11	2	5	15	7	13	9	1	12	10	4	19	8	18	20	14	17	16
17	11	13	19	15	1	10	9	20	12	3	2	14	16	7	5	8	18	6	4
7	12	9	20	19	18	14	13	8	1	4	16	2	17	11	5	15	3	6	10
16	5	6	19	2	4	14	20	11	8	13	1	10	18	7	3	15	9	17	12
3	12	2	19	16	14	7	8	15	17	10	1	18	6	11	4	5	9	13	20
19	15	9	7	16	4	11	8	10	18	2	13	1	3	5	17	12	14	20	6
7	5	19	10	6	20	9	1	8	3	11	15	4	14	18	12	13	17	2	16
3	19	8	2	5	10	13	4	18	6	1	14	11	16	17	9	20	15	7	12
20	7	6	9	3	8	19	10	4	18	1	11	15	14	2	16	12	5	17	13
10	15	9	6	14	18	11	17	3	1	12	7	19	4	20	2	5	13	16	8
3	7	4	2	17	11	8	6	13	10	5	20	12	19	14	1	18	9	16	15
12	10	6	19	7	11	20	1	16	3	18	4	5	13	17	2	8	14	9	15
20	16	9	17	14	12	19	6	1	3	11	15	5	2	4	13	10	18	8	7
1	12	17	13	14	2	6	10	20	3	8	11	18	4	9	7	5	19	16	15
19	12	18	9	13	3	7	17	14	6	16	2	11	10	15	1	4	5	20	8
4	9	19	13	17	7	12	6	10	1	18	11	2	20	14	16	15	3	8	5
1	3	15	10	9	11	17	12	8	7	18	16	20	14	19	13	4	6	5	2
13	4	16	8	9	2	10	1	15	18	7	6	20	3	19	12	5	17	11	14
5	20	13	2	1	12	8	10	9	19	14	7	4	18	15	3	17	6	16	11
4	16	11	9	19	17	5	1	14	8	10	18	13	15	20	3	6	7	2	12
14	2	3	1	6	10	11	19	16	13	20	18	7	12	9	5	4	17	15	8
9	10	12	7	17	11	5	6	13	3	15	4	1	19	18	8	16	20	14	2
5	2	6	18	10	8	4	13	1	9	20	14	3	16	17	7	11	12	19	15
18	16	19	2	10	8	11	13	20	9	5	1	17	3	14	4	6	15	7	12
19	11	12	17	10	14	13	7	20	8	4	6	1	16	18	2	15	5	3	9
8	2	4	10	19	17	3	18	6	20	15	13	7	1	9	5	11	12	16	14
18	20	6	1	19	12	2	14	9	5	11	3	10	16	4	8	7	17	15	13
18	1	11	20	12	16	8	19	15	9	4	14	3	7	17	10	6	2	13	5
2	13	18	20	10	6	4	12	8	9	14	1	19	15	11	17	3	7	5	16
3	7	16	19	14	18	5	12	11	4	1	13	8	17	15	9	6	20	10	2
10	6	3	2	11	20	15	12	8	19	7	13	1	9	17	14	18	5	4	16
17	11	5	7	4	3	19	1	13	9	2	8	10	12	20	18	14	15	16	6
18	4	8	17	10	13	12	2	9	19	7	6	5	14	3	15	1	20	16	11
7	11	14	13	4	18	6	17	8	1	20	19	10	15	12	9	3	16	5	2
5	16	12	9	20	10	18	17	15	4	1	2	11	6	3	14	8	19	13	7
12	19	20	6	4	9	5	11	8	1	17	15	7	14	3	18	2	13	10	16
3	13	1	4	10	15	19	17	16	9	12	2	5	6	20	7	18	14	8	11
16	1	7	20	8	6	9	11	4	13	5	10	19	3	15	17	14	18	2	12
6	4	3	16	8	7	13	20	14	18	17	1	5	11	15	19	10	9	2	12
9	10	14	8	19	17	11	18	20	5	13	15	4	12	7	16	2	6	3	1
20	11	7	9	12	16	1	8	4	17	6	15	2	3	5	18	19	14	10	13
4	17	14	9	5	16	12	15	8	1	20	13	18	11	7	2	6	3	10	19
10	3	17	16	4	19	8	2	13	5	20	14	9	12	1	7	15	18	6	11
12	20	6	17	9	11	10	16	13	3	1	15	2	14	8	18	5	19	4	7
2	7	8	14	9	6	19	15	12	17	16	3	11	5	10	4	20	1	18	13
14	9	6	2	5	16	20	3	10	19	4	15	7	17	11	12	8	18	1	13
11	18	2	14	19	20	5	13	3	12	10	17	7	9	6	1	4	8	15	16
1	17	18	4	16	10	15	12	7	20	2	8	14	6	3	11	13	5	19	9
14	18	13	5	11	15	3	6	20	16	1	17	19	9	7	12	2	10	8	4
9	12	2	15	18	19	17	16	3	10	6	8	11	1	7	14	5	20	13	4
