40	15
186	174	138	122	198	152	133	72	20	107	199	153	179	107	7
56	102	38	163	153	18	108	25	180	21	113	66	189	54	3
129	125	198	170	149	39	147	151	107	189	66	13	127	191	12
185	107	197	110	59	105	74	171	164	37	42	60	82	29	104
173	47	12	19	102	121	168	170	161	101	104	178	118	133	197
25	136	149	72	9	84	54	181	70	7	166	140	140	171	104
45	122	94	154	153	49	73	16	39	171	127	118	161	51	173
36	182	165	200	93	56	180	44	117	11	136	42	135	122	74
82	127	181	130	5	162	178	6	28	153	81	17	102	186	52
150	155	108	2	72	26	174	121	89	90	67	197	35	185	157
132	117	89	170	86	191	19	184	130	45	43	68	155	132	7
27	66	104	54	116	37	169	190	197	115	74	193	175	188	78
46	33	78	85	37	196	19	71	83	195	123	29	189	174	22
12	169	19	48	148	87	195	7	136	103	112	8	112	45	65
194	27	156	22	117	90	111	22	147	186	137	102	166	50	103
42	71	166	7	93	23	83	176	51	161	13	184	7	2	157
28	67	7	45	2	60	136	5	135	181	1	93	136	36	21
170	38	187	2	133	182	158	146	169	6	168	39	24	180	160
32	115	162	141	49	63	27	141	27	75	50	117	16	104	160
52	62	121	15	31	39	77	181	152	90	65	29	7	2	118
22	102	16	6	53	7	62	8	18	61	31	13	79	77	43
134	184	200	97	7	100	55	57	123	199	92	16	99	114	33
96	158	183	13	28	13	178	55	20	66	7	124	129	72	113
11	10	86	24	43	120	50	150	45	175	153	3	52	163	12
177	175	31	150	125	169	68	100	43	17	125	1	182	37	32
142	113	9	100	146	188	113	30	172	76	49	144	177	17	65
172	183	122	35	65	87	132	121	118	170	140	81	60	142	188
161	69	121	113	43	47	93	48	94	9	58	179	182	144	183
16	68	141	147	89	133	33	28	184	104	199	67	74	102	180
195	126	141	175	170	115	42	70	131	178	73	131	84	47	100
62	162	99	102	9	183	52	63	6	16	126	146	120	48	36
20	47	13	165	151	40	100	81	183	103	169	140	3	121	113
124	88	123	73	144	67	172	105	25	90	79	148	55	183	66
103	17	20	63	71	170	148	55	177	1	71	101	81	138	4
143	200	97	171	31	24	166	183	193	173	183	43	131	134	123
97	13	9	55	76	138	142	95	110	195	136	66	189	24	119
44	15	111	179	89	43	49	128	167	100	6	109	125	198	189
154	168	14	157	71	197	82	198	179	168	62	95	89	164	17
149	57	137	179	75	27	164	100	17	40	175	78	72	145	142
184	114	161	20	168	175	198	109	45	48	172	163	38	100	69
5	1	6	3	4	7	2	11	13	12	10	14	9	15	8
3	4	1	7	2	6	5	13	12	8	9	15	10	14	11
1	6	3	4	7	2	5	9	13	11	14	10	15	12	8
5	7	2	1	3	6	4	13	10	11	9	8	14	12	15
3	5	6	7	2	1	4	11	12	14	13	15	9	8	10
2	1	6	7	5	4	3	13	12	10	14	15	9	11	8
6	3	2	4	1	7	5	10	12	9	8	13	11	15	14
4	3	2	5	6	1	7	15	8	11	9	10	14	12	13
7	4	2	6	1	5	3	13	11	9	14	15	10	8	12
5	1	3	7	2	6	4	9	12	14	15	13	11	10	8
1	6	4	2	3	7	5	12	11	10	8	14	15	13	9
2	7	5	1	6	4	3	10	8	13	9	14	11	12	15
7	3	2	6	1	4	5	11	14	13	15	12	8	9	10
1	5	3	6	2	7	4	9	12	15	11	8	10	13	14
6	3	4	2	5	1	7	14	9	12	8	13	10	15	11
7	2	4	1	3	5	6	12	15	14	8	11	9	13	10
3	7	5	2	4	1	6	15	12	8	11	9	14	10	13
2	3	1	6	4	7	5	13	8	12	11	10	9	15	14
5	6	7	2	3	4	1	9	15	11	13	8	10	14	12
3	4	5	2	7	6	1	15	8	9	12	13	11	14	10
4	3	2	7	1	5	6	13	8	15	10	11	9	14	12
1	3	6	7	4	2	5	15	9	8	14	13	11	12	10
2	7	4	3	6	1	5	15	12	10	8	13	11	9	14
6	7	3	2	1	4	5	13	10	9	12	14	15	11	8
3	1	6	5	2	7	4	14	15	8	10	9	12	11	13
7	2	4	3	1	6	5	15	8	12	11	13	9	14	10
4	5	7	1	2	3	6	8	11	10	14	9	13	15	12
1	5	3	2	6	4	7	14	9	11	13	15	8	12	10
7	3	1	2	4	5	6	12	8	10	11	14	15	13	9
3	7	1	4	2	6	5	15	14	11	13	9	10	8	12
4	7	1	5	6	2	3	11	13	12	14	15	9	8	10
1	2	7	6	5	4	3	13	8	11	9	14	10	12	15
1	5	4	2	3	7	6	9	15	11	14	10	12	13	8
6	2	5	1	4	7	3	12	9	8	11	14	13	10	15
6	5	2	4	3	1	7	13	11	9	8	15	12	14	10
4	5	2	7	3	6	1	14	9	15	12	10	13	11	8
3	7	2	6	1	5	4	8	10	12	11	13	9	15	14
6	2	3	7	1	4	5	14	8	9	11	12	13	10	15
3	4	7	1	2	6	5	13	12	9	11	8	15	14	10
5	3	1	2	4	6	7	13	8	14	15	12	9	10	11
